,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,listing_type
2980,249000.0,2.0,2.0,1152.0 ,263940.0,2749.0,Home for sale
2985,1550000.0,3.0,2.0,1513.0 ,1631423.0,3599.0,Condo for sale
2987,650000.0,2.0,3.0,1235.0 ,652900.0,3421.0,House for sale
2988,320000.0,1.0,2.0,864.0 ,368800.0,1939.0,Condo for sale
2994,595000.0,2.0,3.0,1260.0 ,601700.0,2999.0,House for sale
2995,945000.0,3.0,5.0,2301.0 ,895700.0,3897.0,House for sale
2998,1488000.0,3.0,6.0,3036.0 ,1412700.0,4684.0,Coming soon
2999,799000.0,2.0,3.0,1818.0 ,833600.0,3099.0,House for sale
3001,893500.0,3.0,4.0,2604.0 ,875000.0,4370.0,House for sale
3002,799000.0,2.0,2.0,1168.0 ,845820.0,2894.0,Townhouse for sale
3004,2695000.0,5.0,5.0,3223.0 ,2695000.0,4371.0,House for sale
3007,530000.0,2.0,4.0,838.0 ,531400.0,2449.0,House for sale
3008,1395000.0,3.0,3.0,2973.0 ,1452200.0,4570.0,House for sale
3011,688000.0,2.0,2.0,934.0 ,709000.0,2582.0,Condo for sale
3018,789000.0,2.0,2.0,1008.0 ,825098.0,2693.0,Townhouse for sale
3020,319999.0,2.0,2.0,900.0 ,335600.0,2196.0,Condo for sale
3032,699000.0,2.0,3.0,1454.0 ,655800.0,2949.0,Condo for sale
3035,2449900.0,5.0,6.0,4340.0 ,2479600.0,7318.0,House for sale
3036,889000.0,3.0,4.0,2523.0 ,891400.0,3800.0,House for sale
3039,999888.0,2.0,2.0,1376.0 ,1036160.0,3099.0,House for sale
3043,1600000.0,4.0,6.0,4139.0 ,1442100.0,7139.0,House for sale
3050,889000.0,3.0,3.0,1490.0 ,838900.0,3294.0,House for sale
3051,949900.0,3.0,4.0,1944.0 ,1002900.0,4314.0,House for sale
3052,2200000.0,3.0,3.0,2196.0 ,2227999.0,7519.0,House for sale
3057,269000.0,2.0,2.0,1998.0 ,269000.0,3829.0,Home for sale
3059,928000.0,1.0,2.0,845.0 ,961381.0,2966.0,House for sale
3060,900000.0,2.0,3.0,1278.0 ,1061500.0,4043.0,Condo for sale
3063,1895000.0,3.0,4.0,2622.0 ,1895000.0,5999.0,House for sale
3070,465000.0,1.0,1.0,735.0 ,470600.0,2620.0,Condo for sale
3072,2530000.0,5.0,5.0,4183.0 ,2580000.0,8666.0,House for sale
3083,610000.0,2.0,2.0,1040.0 ,627700.0,2300.0,Condo for sale
3091,3600000.0,6.0,5.0,5666.0 ,3586500.0,12002.0,House for sale
3092,1700000.0,6.0,8.0,3479.0 ,1706000.0,5340.0,Multi-family home for sale
3096,949000.0,2.0,4.0,1778.0 ,970118.0,3756.0,House for sale
3099,365000.0,1.0,1.0,675.0 ,381300.0,1800.0,Condo for sale
3101,1200000.0,3.0,3.0,1668.0 ,1278900.0,4164.0,Condo for sale
3107,879000.0,2.0,4.0,1113.0 ,919790.0,3523.0,House for sale
3108,3295000.0,4.0,3.0,3906.0 ,3295000.0,11062.0,House for sale
3109,1100000.0,2.0,2.0,1101.0 ,1132300.0,3397.0,House for sale
3121,599000.0,2.0,2.0,840.0 ,559900.0,2594.0,Condo for sale
3125,1995000.0,3.0,4.0,2555.0 ,2186600.0,6947.0,House for sale
3127,925000.0,3.0,4.0,2402.0 ,903400.0,3800.0,House for sale
3133,529000.0,1.0,1.0,621.0 ,534879.0,2041.0,Condo for sale
3134,1198000.0,3.0,4.0,3255.0 ,1211120.0,4600.0,House for sale
3135,640000.0,2.0,2.0,1110.0 ,650900.0,3155.0,Condo for sale
3139,1050000.0,2.0,4.0,1378.0 ,1141100.0,3800.0,House for sale
3141,3695000.0,6.0,6.0,3377.0 ,3667600.0,10665.0,House for sale
3144,930000.0,2.0,4.0,1614.0 ,876900.0,3595.0,House for sale
3151,1189000.0,1.0,3.0,1066.0 ,1200000.0,3495.0,House for sale
3153,514900.0,2.0,2.0,949.0 ,520621.0,2650.0,Condo for sale
3155,1498000.0,3.0,3.0,1800.0 ,1614472.0,4529.0,House for sale
3159,2050000.0,4.0,5.0,3440.0 ,2073600.0,7710.0,House for sale
3160,599900.0,2.0,3.0,1290.0 ,625000.0,2928.0,Condo for sale
3161,570000.0,2.0,3.0,1186.0 ,560700.0,2999.0,House for sale
3166,1275000.0,1.0,3.0,972.0 ,1348830.0,3298.0,House for sale
3170,749000.0,3.0,3.0,1687.0 ,763000.0,3499.0,House for sale
3175,799900.0,5.0,6.0,2518.0 ,469400.0,2543.0,House for sale
3178,1388888.0,2.0,4.0,1234.0 ,1342200.0,3499.0,House for sale
3184,1299999.0,3.0,4.0,2186.0 ,1332300.0,4394.0,House for sale
3196,1230000.0,3.0,4.0,2486.0 ,1380300.0,4609.0,House for sale
3200,780000.0,2.0,3.0,1969.0 ,802700.0,4168.0,Condo for sale
3206,1385000.0,3.0,4.0,2291.0 ,1445600.0,4385.0,House for sale
3207,925000.0,2.0,2.0,1423.0 ,925000.0,3768.0,Condo for sale
3210,164999.0,1.0,1.0,480.0 ,182700.0,1842.0,Home for sale
3218,1100000.0,3.0,3.0,1305.0 ,1183897.0,3264.0,Condo for sale
3219,850000.0,3.0,3.0,1468.0 ,826800.0,3280.0,House for sale
3221,1399800.0,3.0,3.0,1874.0 ,1469341.0,4164.0,House for sale
3222,2998000.0,4.0,4.0,4349.0 ,2999034.0,6834.0,House for sale
3245,2999999.0,4.0,5.0,3583.0 ,3200000.0,10613.0,House for sale
3247,4688888.0,5.0,4.0,5847.0 ,4877284.0,9443.0,House for sale
3257,4998000.0,3.0,3.0,2451.0 ,3658000.0,12026.0,House for sale
3258,2949000.0,3.0,4.0,3256.0 ,2995400.0,5999.0,House for sale
3259,1395000.0,3.0,4.0,2907.0 ,1456982.0,4500.0,House for sale
3264,925000.0,2.0,2.0,1195.0 ,961023.0,3099.0,Condo for sale
3271,1749999.0,3.0,5.0,2533.0 ,1876723.0,4919.0,House for sale
3274,4200000.0,4.0,6.0,4200.0 ,4078500.0,13621.0,House for sale
3275,849000.0,2.0,3.0,1097.0 ,791500.0,3467.0,House for sale
3276,329000.0,2.0,2.0,1440.0 ,329300.0,3128.0,Home for sale
3289,999000.0,1.0,2.0,1010.0 ,1067000.0,2993.0,House for sale
3292,1799000.0,3.0,4.0,2813.0 ,1978900.0,5466.0,House for sale
3294,629000.0,2.0,2.0,864.0 ,649127.0,2614.0,Condo for sale
3295,875000.0,2.0,3.0,1138.0 ,880200.0,3362.0,House for sale
3297,1149000.0,2.0,4.0,1186.0 ,1215534.0,3270.0,House for sale
3302,1480000.0,3.0,5.0,2623.0 ,1576100.0,4496.0,House for sale
3304,875000.0,3.0,4.0,2278.0 ,891600.0,3999.0,House for sale
3308,1199000.0,4.0,8.0,1448.0 ,1229018.0,3728.0,House for sale
3317,839000.0,3.0,3.0,2279.0 ,853400.0,3465.0,House for sale
3319,499000.0,1.0,2.0,798.0 ,515317.0,2335.0,Condo for sale
3325,1289900.0,2.0,3.0,1583.0 ,1346000.0,4194.0,House for sale
3327,975000.0,1.0,1.0,688.0 ,1046100.0,1999.0,House for sale
3333,375000.0,2.0,4.0,1600.0 ,333000.0,2300.0,Home for sale
3337,1100000.0,2.0,3.0,1421.0 ,1151000.0,4498.0,House for sale
3343,1199000.0,2.0,4.0,1602.0 ,1185200.0,4585.0,House for sale
3344,1195000.0,2.0,3.0,1674.0 ,1215800.0,4023.0,House for sale
3350,2200000.0,2.0,2.0,1827.0 ,1886100.0,6042.0,Condo for sale
3351,599888.0,1.0,2.0,904.0 ,619506.0,2462.0,Condo for sale
3357,559000.0,2.0,2.0,904.0 ,577400.0,2429.0,Condo for sale
3358,670000.0,2.0,3.0,1136.0 ,681800.0,2699.0,House for sale
3359,469000.0,2.0,3.0,1458.0 ,469000.0,2607.0,Condo for sale
3363,2890000.0,7.0,5.0,5335.0 ,2723100.0,8944.0,House for sale
3366,399000.0,2.0,2.0,870.0 ,688300.0,3427.0,Coming soon
3368,1799950.0,2.0,3.0,1780.0 ,1905955.0,4647.0,House for sale
3376,2590000.0,4.0,5.0,3609.0 ,2654100.0,7861.0,House for sale
3378,1489000.0,3.0,4.0,2210.0 ,1597600.0,4294.0,House for sale
3386,1399000.0,2.0,3.0,1505.0 ,1418000.0,4094.0,House for sale
3395,789000.0,3.0,3.0,1416.0 ,812600.0,3599.0,Townhouse for sale
3397,299999.0,1.0,2.0,813.0 ,312800.0,1862.0,Condo for sale
3398,629000.0,3.0,2.0,1116.0 ,603900.0,2614.0,Townhouse for sale
